Name,gwp20,loggwp20,gwp100,loggwp100,gwp500,loggwp500,smiles
Perfluoroisobutene,2,0.301029996,0.1,-1,0.1,-1,FC(F)=C(C(F)(F)F)C(F)(F)F
(Z)-Perfluoro-2-butene,9,0.954242509,2,0.301029996,0.1,-1,F/C(=C(\F)C(F)(F)F)C(F)(F)F
Perfluoro(2-methyl-2-pentene),202,2.305351369,56,1.748188027,16,1.204119983,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F
Hexafluorobenzene,31,1.491361694,9,0.954242509,2,0.301029996,Fc1c(F)c(F)c(F)c(F)c1F
"PFPHP- Perfluoroperhydrophen-_x000D_anthrene   (Vitreon, Flutec PP 11)",7390,3.868644438,9900,3.995635195,11800,4.071882007,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F
"1,1,2,2-tetrafluoro-1-(trifluoro-_x000D_methoxy)ethane",9480,3.976808337,3640,3.561101384,1040,3.017033339,FC(F)C(F)(F)OC(F)(F)F
HFE-236ca,11100,4.045322979,4750,3.67669361,1360,3.133538908,FC(F)OC(F)(F)C(F)F
HFE-254eb2,26,1.414973348,7,0.84509804,6,0.77815125,COC(F)C(F)(F)F
HFE-338mec3 ,6170,3.790285164,1960,3.292256071,559,2.747411808,FC(F)OC(F)(F)C(F)C(F)(F)F
HFE-347mcf ,3430,3.53529412,987,2.994317153,282,2.450249108,FC(F)OCC(F)(F)C(F)(F)F
HFE-365mcf2 ,259,2.413299764,72,1.857332496,21,1.322219295,CCOC(F)(F)C(F)(F)F
i-HFE-7100 ,1620,3.209515015,462,2.664641976,132,2.120573931,FC(F)OCC(F)(C(F)(F)F)C(F)(F)F
HFE-54-11mecf ,437,2.640481437,121,2.08278537,35,1.544068044,FC(C(F)(F)F)C(F)(F)OCC(F)(F)C(F)(F)F
HG-20 ,15200,4.181843588,7590,3.880241776,2210,3.344392274,FC(F)OC(F)(F)OC(F)(F)OC(F)F
HG-21 ,11700,4.068185862,4170,3.620136055,1190,3.075546961,FC(F)OC(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)F
"1-ethoxy-1,1,2,2,3,3,3-heptafluoro-propane",289,2.460897843,80,1.903089987,23,1.361727836,CCOC(F)(F)C(F)(F)C(F)(F)F
"1,1,2,2-tetrafluoro-1-(fluorometh-oxy)ethane",3980,3.599883072,1150,3.06069784,328,2.515873844,FCOC(F)(F)C(F)F
Fluoro(methoxy)methane ,56,1.748188027,16,1.204119983,4,0.602059991,COCF
Fluoro(fluoromethoxy)methane,566,2.752816431,157,2.195899652,45,1.653212514,FCOCF
Difluoro(fluoromethoxy)methane ,2380,3.376576957,665,2.822821645,190,2.278753601,FCOC(F)F
Trifluoro(fluoromethoxy)methane ,3280,3.515873844,923,2.965201701,263,2.419955748,FCOC(F)(F)F
Trifluoromethyl formate,2320,3.365487985,650,2.812913357,185,2.267171728,O=COC(F)(F)F
Perfluoropropyl formate ,569,2.755112266,158,2.198657087,45,1.653212514,O=COC(F)(F)C(F)(F)C(F)(F)F
Perfluorobutyl formate ,1270,3.103803721,354,2.549003262,101,2.004321374,O=COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"3,3,3-trifluoropropyl formate ",69,1.838849091,19,1.278753601,5,0.698970004,O=COCCC(F)(F)F
"1,2,2,2-tetrafluoroethyl formate ",1810,3.257678575,504,2.702430536,144,2.158362492,O=COC(F)C(F)(F)F
Perfluorobutyl acetate ,7,0.84509804,2,0.301029996,0.1,-1,CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluoropropyl acetate ,6,0.77815125,2,0.301029996,0.1,-1,CC(=O)OC(F)(F)C(F)(F)C(F)(F)F
Perfluoroethyl acetate ,8,0.903089987,2,0.301029996,0.1,-1,CC(=O)OC(F)(F)C(F)(F)F
Trifluoromethyl acetate ,8,0.903089987,2,0.301029996,0.1,-1,CC(=O)OC(F)(F)F
Methyl carbonofluoridate ,380,2.579783597,106,2.025305865,30,1.477121255,COC(=O)F
"1,1-difluoroethyl carbonofluoridate ",95,1.977723605,26,1.414973348,8,0.903089987,CC(F)(F)OC(=O)F
"1,1-difluoroethyl 2,2,2-trifluoro-acetate",119,2.075546961,33,1.51851394,9,0.954242509,CC(F)(F)OC(=O)C(F)(F)F
"2,2,2-trifluoroethyl 2,2,2-trifluoro-acetate",152,2.181843588,42,1.62324929,12,1.079181246,O=C(OCC(F)(F)F)C(F)(F)F
"Methyl 2,2-difluoroacetate ",74,1.86923172,20,1.301029996,6,0.77815125,COC(=O)C(F)F
"Difluoromethyl 2,2,2-trifluoro-acetate",100,2,28,1.447158031,8,0.903089987,O=C(OC(F)F)C(F)(F)F
"2,2-3,3,4,4,5,5,5-fluoro-1-pentanol",20,1.301029996,6,0.77815125,2,0.301029996,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1-fluoropropan-2-one ,4,0.602059991,0.1,-1,0.1,-1,CC(=O)CF
"1,1,1,3,3,3-hexafluoropropan-2-one",10,1,3,0.477121255,0.1,-1,O=C(C(F)(F)F)C(F)(F)F
"NOVEC-774 (Tetradecafluoro-2,4-dimethylpentan-3-one)",3,0.477121255,0.1,-1,0.1,-1,O=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
Perfluoro(2-methyl-3-hexanone) ,3,0.477121255,0.1,-1,0.1,-1,O=C(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
Chloroacetone ,0.001,-3,0.001,-3,0.001,-3,CC(=O)CCl
Bromoacetone ,0.001,-3,0.001,-3,0.001,-3,CC(=O)CBr
Trifluoroacetaldehyde,0.001,-3,0.001,-3,0.001,-3,O=CC(F)(F)F
Trifluoroacetyl fluoride ,0.1,-1,0.1,-1,0.001,-3,O=C(F)C(F)(F)F
Oxalyl fluoride ,0.1,-1,0.001,-3,0.001,-3,O=C(F)C(=O)F
"2,2,3,3,3-pentafluoropropanal ",0.001,-3,0.001,-3,0.001,-3,O=CC(F)(F)C(F)(F)F
Difluoromalonyl fluoride ,0.1,-1,0.1,-1,0.001,-3,O=C(F)C(F)(F)C(=O)F
"4,4,4-trifluorobutanal ",0.001,-3,0.001,-3,0.001,-3,O=CCCC(F)(F)F
"2,2,3,3,4,4,4-heptafluorobutanal ",0.001,-3,0.001,-3,0.001,-3,O=CC(F)(F)C(F)(F)C(F)(F)F
Tetrafluorosuccinyl fluoride ,0.1,-1,0.1,-1,0.001,-3,O=C(F)C(F)(F)C(F)(F)C(=O)F
"2,2,3,3,4,4,5,5,5-nonafluoro-petanal",0.001,-3,0.001,-3,0.001,-3,O=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Methyl iodide,0.1,-1,0.001,-3,0.001,-3,CI
Bromoiodomethane,0.001,-3,0.001,-3,0.001,-3,C(Br)I 
Chloroiodomethane,0.001,-3,0.001,-3,0.001,-3,C(Cl)I 
Diiodomethane,0.001,-3,0.001,-3,0.001,-3,C(I)I
Trifluoroiodomethane,1,0,0.1,-1,0.001,-3,C(F)(F)(F)I
Iodoethane,0.001,-3,0.001,-3,0.001,-3,CCI
n-iodopropane,0.001,-3,0.001,-3,0.001,-3,CCCI
i-iodopropane,0.001,-3,0.001,-3,0.001,-3,CC(C)I
3-iodo-1-propene,0.001,-3,0.001,-3,0.001,-3,C=CCI 
1-iodo-heptafluoropropane,0.001,-3,0.001,-3,0.001,-3,C(C(F)(F)F)(C(F)(F)I)(F)F
Tert-butyl iodide,0.1,-1,0.001,-3,0.001,-3,CC(C)(C)I
Carbonyl fluoride,0.1,-1,0.1,-1,0.001,-3,C(=O)(F)F
Phosphorus tribromide,0.001,-3,0.001,-3,0.001,-3,P(Br)(Br)Br
Ammonia,0.1,-1,0.001,-3,0.001,-3,N
Carbonyl Sulfide,109,2.037426498,30,1.477121255,9,0.954242509,C(=O)=S
Sulfuryl fluoride,7130,3.85308953,4390,3.64246452,1340,3.127104798,O=S(=O)(F)F
Trifluoroacetic acid (TFA),0.1,-1,0.1,-1,0.001,-3,C(=O)(C(F)(F)F)O
Heptafluorobutyronitrile,4020,3.604226053,2350,3.371067862,705,2.848189117,C(#N)C(C(C(F)(F)F)(F)F)(F)F
Chlorine nitrate,1,0,0.1,-1,0.001,-3,[N+](=O)([O-])OCl
Bromine nitrate,0.001,-3,0.001,-3,0.001,-3,[N+](=O)([O-])OBr
